Group,length,Macrel,Macrel_probability,Out1,Out1 Prob,Out9,Out9 Prob,Vote2,Vote2 Prob,charge_pH7,charge_density,muH,KD_raw,KD_norm01,HelixProp,HRC_pct,SAI,Aromatic_frac,PG_frac,WWIHP_mean,Boman,Instability,pI,Hmoment,AIPx,Zsum,z_muH,z_charge_density,z_GRAVY,z_HelixProp,z_HRC,z_SAI,verdict,Macrel_AMP,AIPx_tier
P_P30K,17,AMP,0.812,AMP,0.751,NonAMP,0.528,1:AMP,0.532,1.936,0.1139,0.527,1.3,0.644,1.106,64.71,0.433,0.059,0,-0.277,-0.221,30.265,9.833,0.527,0.748,1.087,0.18,-0.36,4.8,0.28,1.31,1.55,AMP-like,TRUE,Strong
P_P30K,18,AMP,0.644,NonAMP,0.616,NonAMP,0.777,NonAMP,0.738,0.998,0.0555,0.582,1.05,0.617,1.132,66.67,0.525,0.056,0.056,-0.271,-0.167,-6.2,9.695,0.582,0.733,1.012,0.55,-0.95,3.8,0.41,1.44,2.17,Unlikely,TRUE,Strong
P_P30K,15,AMP,0.594,AMP,0.534,NonAMP,0.503,1:AMP,0.5,1.089,0.0726,0.516,1.407,0.656,1.069,60,0.469,0.067,0,-0.315,-0.791,30.667,9.702,0.516,0.731,0.999,0.11,-0.77,5.23,0.09,1,1.79,AMP-like,TRUE,Strong
P_P30K,18,AMP,0.634,NonAMP,0.565,NonAMP,0.589,NonAMP,0.539,0.998,0.0555,0.556,1.15,0.628,1.003,61.11,0.575,0.111,0.111,-0.223,-0.103,-8.339,9.695,0.556,0.713,0.91,0.37,-0.95,4.2,-0.24,1.07,2.5,AMP-like,TRUE,Strong
P_P30K,8,AMP,0.683,AMP,0.513,NonAMP,0.604,NonAMP,0.54,0.998,0.1247,0.573,0.95,0.606,0.96,62.5,0.475,0,0.125,-0.326,-0.615,-23.087,9.7,0.573,0.705,0.872,0.49,-0.25,3.4,-0.45,1.17,1.83,Unlikely,TRUE,Strong
P_P30K,8,AMP,0.634,AMP,0.567,NonAMP,0.627,NonAMP,0.579,1.998,0.2497,0.453,0.775,0.586,1.154,62.5,0.258,0,0,-0.191,0.675,8.75,11.652,0.453,0.694,0.818,-0.31,1,2.7,0.52,1.17,0.39,AMP-like,TRUE,Strong
P_P30K,19,AMP,0.782,AMP,0.649,AMP,0.607,1:AMP,0.624,0.999,0.0526,0.597,1.047,0.616,1.013,52.63,0.524,0.105,0.158,-0.188,-0.138,-3.432,9.695,0.597,0.69,0.8,0.65,-0.97,3.79,-0.19,0.51,2.16,AMP-like,TRUE,Strong
P_P30K,18,AMP,0.762,AMP,0.573,NonAMP,0.508,1:AMP,0.541,1.027,0.0571,0.773,0.861,0.596,0.947,50,0.287,0.056,0.167,-0.186,0.104,8.7,8.553,0.773,0.681,0.757,1.82,-0.93,3.04,-0.52,0.33,0.58,AMP-like,TRUE,Strong
P_P30K,16,AMP,0.594,NonAMP,0.541,AMP,0.691,1:AMP,0.657,1.09,0.0681,0.784,0.675,0.575,1.02,50,0.225,0.125,0.062,-0.217,0.618,25.344,9.697,0.784,0.668,0.699,1.89,-0.82,2.3,-0.15,0.33,0.17,AMP-like,TRUE,Strong
P_P30K,16,AMP,0.812,AMP,0.812,AMP,0.865,1:AMP,0.835,3.088,0.193,0.74,0.356,0.54,1.089,56.25,0.071,0,0.062,-0.063,0.626,16.7,11.823,0.74,0.667,0.696,1.6,0.43,1.02,0.19,0.75,-0.86,AMP-like,TRUE,Strong
P_P30K,13,AMP,0.713,AMP,0.633,AMP,0.64,1:AMP,0.651,2.088,0.1606,0.43,0.931,0.603,1.146,61.54,0.233,0.077,0,-0.288,-0.538,27.777,10.805,0.43,0.66,0.662,-0.47,0.11,3.32,0.48,1.1,0.22,AMP-like,TRUE,Strong
P_P30K,12,AMP,0.644,AMP,0.534,AMP,0.618,1:AMP,0.604,1.998,0.1665,0.789,0.242,0.527,1.019,58.33,0.081,0.083,0.167,-0.044,1.705,5.575,11.48,0.789,0.653,0.63,1.93,0.17,0.57,-0.16,0.89,-0.79,AMP-like,TRUE,Strong
P_P30K,17,AMP,0.634,AMP,0.668,AMP,0.526,1:AMP,0.584,2.997,0.1763,0.779,0.318,0.535,1.005,52.94,0.079,0.059,0.118,-0.018,0.917,34.429,11.823,0.779,0.649,0.613,1.86,0.26,0.87,-0.23,0.53,-0.81,AMP-like,TRUE,Strong
P_P30K,17,AMP,0.624,AMP,0.726,AMP,0.878,1:AMP,0.837,2.179,0.1282,0.595,0.894,0.599,0.981,52.94,0.179,0.294,0.235,-0.504,-1.002,3.406,10.805,0.595,0.647,0.605,0.63,-0.22,3.18,-0.35,0.53,-0.14,AMP-like,TRUE,Moderate
P_P30K,17,AMP,0.782,AMP,0.931,AMP,0.952,1:AMP,0.944,2.997,0.1763,0.703,0.682,0.576,0.921,41.18,0.171,0,0.235,-0.135,-0.371,-41.076,11.103,0.703,0.642,0.586,1.35,0.26,2.33,-0.64,-0.25,-0.19,AMP-like,TRUE,Moderate
P_P30K,18,AMP,0.634,NonAMP,0.527,AMP,0.702,1:AMP,0.66,1.088,0.0605,0.845,0.5,0.556,0.939,50,0.167,0.167,0.222,-0.166,0.269,15.428,9.3,0.845,0.641,0.581,2.3,-0.9,1.6,-0.56,0.33,-0.22,AMP-like,TRUE,Moderate
P_P30K,16,AMP,0.663,AMP,0.738,AMP,0.795,1:AMP,0.775,2.998,0.1874,0.803,0.087,0.51,0.987,62.5,0.022,0.25,0.188,-0.304,1.082,30.756,12.516,0.803,0.641,0.581,2.02,0.37,-0.05,-0.32,1.17,-1.19,AMP-like,TRUE,Moderate
P_P30K,22,AMP,0.782,AMP,0.531,AMP,0.804,1:AMP,0.764,1.936,0.088,0.591,0.573,0.564,1.049,68.18,0.191,0.136,0.182,-0.234,-0.074,27.055,9.674,0.591,0.631,0.536,0.61,-0.62,1.89,-0.01,1.55,-0.06,Unlikely,TRUE,Moderate
P_P30K,21,AMP,0.792,AMP,0.597,AMP,0.722,1:AMP,0.687,1.998,0.0951,0.485,0.862,0.596,1.097,57.14,0.287,0.048,0.19,0.022,-0.852,-4.814,10.12,0.485,0.631,0.537,-0.1,-0.55,3.05,0.23,0.81,0.58,AMP-like,TRUE,Moderate
P_P30K,22,AMP,0.594,NonAMP,0.701,NonAMP,0.546,NonAMP,0.508,1,0.0454,0.647,0.586,0.565,1.095,54.55,0.293,0.136,0.091,-0.16,0.449,14.514,9.535,0.647,0.627,0.519,0.98,-1.05,1.95,0.22,0.64,0.62,AMP-like,TRUE,Moderate
P_P30K,25,AMP,0.842,AMP,0.915,AMP,0.829,1:AMP,0.839,6.088,0.2435,0.809,0.08,0.509,0.976,44,0.01,0.04,0.2,-0.07,1.257,13.364,12.82,0.809,0.622,0.498,2.06,0.94,-0.08,-0.37,-0.07,-1.27,AMP-like,TRUE,Moderate
P_P30K,21,AMP,0.683,NonAMP,0.716,NonAMP,0.577,NonAMP,0.53,2.18,0.1038,0.808,0.281,0.531,1.076,47.62,0.056,0.095,0.048,-0.034,1.06,2.829,10.447,0.808,0.618,0.479,2.05,-0.46,0.72,0.13,0.17,-0.96,AMP-like,TRUE,Moderate
P_P30K,15,AMP,0.584,AMP,0.729,AMP,0.661,1:AMP,0.69,3.025,0.2017,0.495,0.753,0.584,1.038,46.67,0.151,0.067,0,-0.105,-0.17,14.087,10.134,0.495,0.614,0.462,-0.03,0.52,2.61,-0.06,0.11,-0.33,AMP-like,TRUE,Moderate
P_P30K,25,AMP,0.653,NonAMP,0.592,AMP,0.555,1:AMP,0.527,0.997,0.0399,0.694,0.544,0.56,1.002,52,0.272,0.08,0.16,-0.116,0.212,10.9,9.297,0.694,0.611,0.452,1.29,-1.1,1.78,-0.24,0.47,0.48,AMP-like,TRUE,Moderate
P_P30K,20,AMP,0.644,NonAMP,0.719,AMP,0.704,1:AMP,0.678,0.092,0.0046,0.705,0.32,0.536,1.174,65,0.16,0.15,0.05,-0.106,0.533,15.44,7.55,0.705,0.61,0.449,1.37,-1.45,0.88,0.62,1.33,-0.27,AMP-like,TRUE,Moderate
P_P30K,22,AMP,0.634,NonAMP,0.727,NonAMP,0.84,NonAMP,0.784,0.999,0.0454,0.592,0.636,0.571,1.055,54.55,0.318,0.045,0.045,-0.122,0.61,4.464,9.695,0.592,0.609,0.444,0.61,-1.05,2.15,0.02,0.64,0.79,AMP-like,TRUE,Moderate
P_P30K,25,AMP,0.792,AMP,0.951,AMP,0.907,1:AMP,0.889,3.026,0.121,0.587,0.696,0.577,1.016,48,0.139,0.04,0.24,-0.022,-0.584,32.184,10.513,0.587,0.601,0.409,0.58,-0.29,2.38,-0.17,0.2,-0.41,AMP-like,TRUE,Moderate
P_P30K,16,AMP,0.703,AMP,0.61,AMP,0.878,1:AMP,0.836,2.179,0.1362,0.583,0.431,0.548,1.007,62.5,0.086,0.125,0.188,-0.083,0.027,37.638,10.455,0.583,0.593,0.376,0.55,-0.14,1.32,-0.22,1.17,-0.76,AMP-like,TRUE,Moderate
P_P30K,15,AMP,0.644,AMP,0.642,AMP,0.824,1:AMP,0.805,2.998,0.1998,0.709,0.02,0.502,0.969,60,0.005,0.267,0.2,-0.59,0.543,92.887,12.516,0.709,0.589,0.359,1.39,0.5,-0.32,-0.41,1,-1.3,AMP-like,TRUE,Moderate
P_P30K,18,AMP,0.624,AMP,0.707,AMP,0.777,1:AMP,0.769,1.999,0.111,0.501,0.556,0.562,0.981,61.11,0.185,0.056,0.278,-0.118,-0.593,24.75,10.507,0.501,0.574,0.296,0.01,-0.39,1.82,-0.35,1.07,-0.1,AMP-like,TRUE,Moderate
P_P30K,21,AMP,0.604,NonAMP,0.731,NonAMP,0.807,NonAMP,0.756,2.09,0.0995,0.744,0.186,0.521,1.061,47.62,0.046,0.143,0.048,-0.169,1.214,38.529,10.447,0.744,0.572,0.289,1.63,-0.5,0.34,0.05,0.17,-1.03,AMP-like,TRUE,Moderate
P_P30K,14,AMP,0.653,AMP,0.683,AMP,0.78,1:AMP,0.759,1.089,0.0778,0.51,0.807,0.59,0.914,50,0.269,0.143,0.286,-0.333,-0.874,-26.421,9.702,0.51,0.572,0.29,0.07,-0.72,2.83,-0.68,0.33,0.46,AMP-like,TRUE,Moderate
P_P30K,25,AMP,0.693,AMP,0.778,AMP,0.674,1:AMP,0.624,2.089,0.0835,0.58,0.588,0.565,0.988,52,0.147,0.04,0.24,-0.069,-0.064,-4.68,11.652,0.58,0.57,0.281,0.53,-0.66,1.95,-0.31,0.47,-0.35,AMP-like,TRUE,Moderate
P_P30K,23,AMP,0.733,AMP,0.853,AMP,0.72,1:AMP,0.732,3.089,0.1343,0.778,0.23,0.526,0.946,39.13,0.046,0.043,0.174,-0.115,1.072,-8.478,12.516,0.778,0.567,0.271,1.85,-0.16,0.52,-0.52,-0.39,-1.03,AMP-like,TRUE,Moderate
P_P30K,16,AMP,0.881,AMP,0.597,AMP,0.798,1:AMP,0.759,3.087,0.1929,0.598,0.275,0.531,0.996,50,0.055,0.188,0.062,-0.139,0.584,4.062,10.453,0.598,0.566,0.267,0.65,0.43,0.7,-0.27,0.33,-0.97,AMP-like,TRUE,Moderate
P_P30K,20,AMP,0.792,AMP,0.637,NonAMP,0.505,1:AMP,0.526,1.09,0.0545,0.616,0.495,0.555,1.046,50,0.165,0.05,0.15,0.003,0.433,-12.19,9.697,0.616,0.565,0.263,0.77,-0.95,1.58,-0.02,0.33,-0.23,AMP-like,TRUE,Moderate
P_P30K,16,AMP,0.584,NonAMP,0.544,AMP,0.677,1:AMP,0.663,2.027,0.1267,0.812,0.006,0.501,0.94,50,0.002,0,0.188,0.006,1.589,22.838,9.829,0.812,0.563,0.253,2.08,-0.23,-0.38,-0.55,0.33,-1.32,AMP-like,TRUE,Moderate
P_P30K,28,AMP,0.634,NonAMP,0.662,NonAMP,0.797,NonAMP,0.716,2.998,0.1071,0.518,0.543,0.56,1.009,53.57,0.136,0.036,0.179,-0.034,0.334,37.604,10.886,0.518,0.555,0.222,0.12,-0.43,1.77,-0.21,0.57,-0.43,AMP-like,TRUE,Moderate
P_P30K,21,AMP,0.703,AMP,0.693,AMP,0.877,1:AMP,0.845,2.999,0.1428,0.777,-0.219,0.476,0.988,61.9,-0.055,0.143,0.286,-0.126,1.249,48.276,12.223,0.777,0.552,0.208,1.85,-0.07,-1.28,-0.31,1.13,-1.7,AMP-like,TRUE,Moderate
P_P30K,21,AMP,0.624,NonAMP,0.523,NonAMP,0.607,NonAMP,0.579,2.996,0.1427,0.709,0.167,0.519,0.998,42.86,0.042,0.19,0.048,-0.31,1.191,37.443,10.654,0.709,0.552,0.208,1.39,-0.07,0.27,-0.26,-0.14,-1.05,AMP-like,TRUE,Moderate
P_P30K,17,AMP,0.584,AMP,0.821,AMP,0.866,1:AMP,0.833,4.935,0.2903,0.547,0.076,0.508,0.986,47.06,0.013,0.059,0.118,-0.035,1.569,91.259,11.752,0.547,0.548,0.193,0.31,1.4,-0.09,-0.32,0.14,-1.25,AMP-like,TRUE,Moderate
P_P30K,12,AMP,0.673,AMP,0.683,AMP,0.788,1:AMP,0.776,1.997,0.1664,0.533,0.358,0.54,0.984,50,0.119,0.083,0.25,-0.214,-0.363,-10.158,10.805,0.533,0.547,0.189,0.22,0.16,1.03,-0.33,0.33,-0.54,AMP-like,TRUE,Moderate
P_P30K,16,AMP,0.634,AMP,0.608,AMP,0.823,1:AMP,0.783,2.999,0.1874,0.787,-0.337,0.462,1.089,50,-0.084,0.188,0.062,-0.114,1.782,29.85,11.651,0.787,0.545,0.181,1.91,0.37,-1.75,0.19,0.33,-1.89,AMP-like,TRUE,Moderate
P_P30K,17,AMP,0.663,NonAMP,0.577,NonAMP,0.568,NonAMP,0.53,2.089,0.1229,0.631,0.229,0.525,0.984,52.94,0.057,0,0.176,0.035,0.695,31.606,11.652,0.631,0.544,0.176,0.87,-0.27,0.52,-0.33,0.53,-0.95,AMP-like,TRUE,Moderate
P_P30K,17,AMP,0.604,NonAMP,0.508,AMP,0.5,1:AMP,0.552,2.09,0.123,0.649,0.106,0.512,1.054,52.94,0.026,0,0.118,0.107,1.449,24.935,11.48,0.649,0.541,0.164,0.99,-0.27,0.02,0.02,0.53,-1.16,AMP-like,TRUE,Weak
P_P30K,18,AMP,0.614,NonAMP,0.552,NonAMP,0.536,1:AMP,0.508,0.998,0.0554,0.59,0.406,0.545,1.003,50,0.203,0.056,0.111,-0.141,0.383,-16.689,9.537,0.59,0.54,0.161,0.6,-0.95,1.22,-0.24,0.33,0.02,AMP-like,TRUE,Weak
P_P30K,15,AMP,0.733,AMP,0.748,AMP,0.848,1:AMP,0.828,3.025,0.2017,0.43,0.68,0.576,0.931,40,0.136,0.067,0.2,-0.18,-0.069,22.64,10.256,0.43,0.538,0.153,-0.47,0.52,2.32,-0.6,-0.33,-0.43,AMP-like,TRUE,Weak
P_P30K,16,AMP,0.604,AMP,0.562,AMP,0.795,1:AMP,0.746,1.937,0.1211,0.555,0.3,0.533,0.938,56.25,0.1,0,0.312,-0.002,0.705,57.525,9.828,0.555,0.529,0.116,0.37,-0.29,0.8,-0.56,0.75,-0.67,AMP-like,TRUE,Weak
P_P30K,25,AMP,0.653,AMP,0.816,AMP,0.547,1:AMP,0.589,2.935,0.1174,0.448,0.66,0.573,0.998,44,0.165,0.08,0.12,-0.178,0.076,7.18,10.256,0.448,0.528,0.112,-0.35,-0.33,2.24,-0.26,-0.07,-0.23,AMP-like,TRUE,Weak
P_P30K,14,AMP,0.673,AMP,0.846,AMP,0.903,1:AMP,0.897,3.088,0.2206,0.651,-0.179,0.48,1.064,42.86,-0.036,0.143,0.143,-0.056,0.639,-2.164,11.103,0.651,0.514,0.057,1.01,0.71,-1.11,0.07,-0.14,-1.57,AMP-like,TRUE,Weak
P_P30K,21,AMP,0.802,AMP,0.61,NonAMP,0.503,1:AMP,0.536,3.995,0.1903,0.708,-0.086,0.49,0.912,42.86,-0.017,0.143,0.143,-0.087,1.016,17.49,10.726,0.708,0.512,0.046,1.39,0.4,-0.74,-0.69,-0.14,-1.45,AMP-like,TRUE,Weak
P_P30K,16,AMP,0.594,AMP,0.571,AMP,0.624,1:AMP,0.608,2.026,0.1266,0.505,0.412,0.546,0.992,43.75,0.103,0.125,0.062,-0.142,0.696,18.869,9.449,0.505,0.507,0.028,0.03,-0.23,1.25,-0.29,-0.08,-0.65,AMP-like,TRUE,Weak
P_P30K,19,AMP,0.604,AMP,0.544,NonAMP,0.697,NonAMP,0.663,2.997,0.1577,0.579,0,0.5,1.091,47.37,0,0.053,0.105,0.082,1.345,3.063,11.531,0.579,0.502,0.008,0.53,0.08,-0.4,0.2,0.16,-1.33,AMP-like,TRUE,Weak
P_P30K,17,AMP,0.634,AMP,0.715,AMP,0.879,1:AMP,0.848,2.998,0.1763,0.597,0.018,0.502,0.979,41.18,0.004,0.059,0.176,0.018,1.221,9.182,11.08,0.597,0.486,-0.057,0.65,0.26,-0.33,-0.36,-0.25,-1.31,AMP-like,TRUE,Weak
P_P30K,23,AMP,0.624,AMP,0.819,AMP,0.722,1:AMP,0.735,4.179,0.1817,0.564,-0.035,0.496,0.941,47.83,-0.005,0.043,0.261,0.062,1.041,13.583,12.532,0.564,0.475,-0.101,0.43,0.32,-0.54,-0.55,0.19,-1.37,AMP-like,TRUE,Weak
P_P30K,33,AMP,0.604,AMP,0.932,NonAMP,0.516,1:AMP,0.524,1.689,0.0512,0.503,0.285,0.532,0.855,42.42,0.095,0.061,0.273,-0.064,0.815,86.703,8.211,0.503,0.42,-0.324,0.02,-0.99,0.74,-0.98,-0.17,-0.7,AMP-like,TRUE,Weak
P_P30K,21,AMP,0.594,AMP,0.567,AMP,0.626,1:AMP,0.641,3.088,0.147,0.639,-0.3,0.467,0.957,38.1,-0.06,0.143,0.143,-0.091,1.805,35.843,10.886,0.639,0.419,-0.326,0.93,-0.03,-1.6,-0.47,-0.46,-1.73,AMP-like,TRUE,Weak
P_P30K,27,AMP,0.594,NonAMP,0.511,NonAMP,0.659,NonAMP,0.641,1.874,0.0694,0.48,-0.133,0.485,0.88,66.67,-0.044,0,0.37,0.089,0.673,100.333,8.835,0.48,0.399,-0.408,-0.13,-0.81,-0.93,-0.85,1.44,-1.63,AMP-like,TRUE,Weak
P_P30K,23,AMP,0.733,AMP,0.661,AMP,0.68,1:AMP,0.676,5.025,0.2185,0.703,-0.774,0.414,0.917,39.13,-0.111,0.13,0.174,0.043,1.802,73.883,10.859,0.703,0.398,-0.415,1.35,0.68,-3.5,-0.66,-0.39,-2.07,AMP-like,TRUE,Weak
P_P30K,18,AMP,0.614,NonAMP,0.507,NonAMP,0.565,NonAMP,0.541,2.088,0.116,0.581,-0.344,0.462,0.977,44.44,-0.086,0.056,0.222,0.013,0.762,25.161,10.805,0.581,0.389,-0.451,0.54,-0.34,-1.78,-0.37,-0.04,-1.91,AMP-like,TRUE,Weak
P_P30K,20,AMP,0.604,AMP,0.575,AMP,0.625,1:AMP,0.597,3.935,0.1968,0.619,-0.635,0.429,0.982,35,-0.127,0.3,0.1,-0.258,2.577,66.16,10.873,0.619,0.373,-0.518,0.79,0.47,-2.94,-0.34,-0.67,-2.18,AMP-like,TRUE,Weak
P_P30K,17,AMP,0.624,AMP,0.52,AMP,0.823,1:AMP,0.783,2.27,0.1336,0.429,-0.241,0.473,0.922,52.94,-0.04,0.059,0.235,0.021,0.994,47.9,11.652,0.429,0.37,-0.533,-0.47,-0.16,-1.36,-0.64,0.53,-1.6,AMP-like,TRUE,Weak
P_P30K,14,AMP,0.634,AMP,0.698,AMP,0.855,1:AMP,0.796,4.088,0.292,0.666,-1.064,0.382,0.869,42.86,-0.177,0.071,0.357,0.198,2.513,64.6,12.532,0.666,0.367,-0.546,1.11,1.42,-4.66,-0.91,-0.14,-2.51,AMP-like,TRUE,Weak
P_P30K,32,AMP,0.653,AMP,0.512,NonAMP,0.572,NonAMP,0.592,2.996,0.0936,0.572,-0.531,0.441,0.972,34.38,-0.089,0.031,0.156,0.203,1.809,69.181,8.947,0.572,0.325,-0.729,0.48,-0.56,-2.52,-0.39,-0.71,-1.93,AMP-like,TRUE,Weak
P_P30K,22,AMP,0.822,AMP,0.606,AMP,0.65,1:AMP,0.634,2.934,0.1334,0.721,-0.736,0.418,0.795,27.27,-0.184,0.091,0.409,0.044,1.451,42.527,10.026,0.721,0.312,-0.791,1.47,-0.17,-3.35,-1.27,-1.18,-2.56,AMP-like,TRUE,Weak
P_P30K,20,AMP,0.604,AMP,0.768,AMP,0.729,1:AMP,0.697,2.966,0.1483,0.41,-0.275,0.469,0.905,30,-0.055,0,0.25,0.13,1.664,14.465,9.758,0.41,0.309,-0.807,-0.6,-0.02,-1.5,-0.73,-1,-1.7,AMP-like,TRUE,Weak
P_P30K,21,AMP,0.594,AMP,0.55,AMP,0.767,1:AMP,0.698,2.997,0.1427,0.5,-0.819,0.409,0.92,52.38,-0.205,0.095,0.333,0.119,1.293,47.462,10.902,0.5,0.297,-0.86,0,-0.07,-3.68,-0.65,0.49,-2.7,AMP-like,TRUE,Weak
P_P30K,14,AMP,0.614,AMP,0.6,AMP,0.559,1:AMP,0.542,5.179,0.3699,0.569,-1.614,0.321,1.028,28.57,-0.202,0.071,0.143,0.189,3.89,36.829,12.814,0.569,0.284,-0.922,0.46,2.2,-6.86,-0.11,-1.1,-2.68,AMP-like,TRUE,Weak
P_P30K,16,AMP,0.594,AMP,0.506,AMP,0.598,1:AMP,0.562,5.087,0.3179,0.442,-1.156,0.372,0.984,25,-0.165,0.125,0.125,0.101,2.939,54.919,11.768,0.442,0.267,-1.007,-0.39,1.68,-5.03,-0.33,-1.33,-2.43,AMP-like,TRUE,Weak
P_P30K,24,AMP,0.624,NonAMP,0.735,NonAMP,0.665,NonAMP,0.59,2.09,0.0871,0.306,-0.963,0.393,0.899,37.5,-0.241,0.125,0.25,-0.025,1.868,55.617,10.447,0.306,0.172,-1.569,-1.29,-0.63,-4.25,-0.76,-0.5,-2.94,AMP-like,TRUE,Weak
P_P30K,20,AMP,0.673,AMP,0.501,AMP,0.632,1:AMP,0.59,3.178,0.1589,0.391,-1.45,0.339,0.829,40,-0.242,0.1,0.35,0.207,2.82,84.645,11.21,0.391,0.167,-1.604,-0.73,0.09,-6.2,-1.11,-0.33,-2.95,AMP-like,TRUE,Weak
